,exp_date,52W_high,52W_low,52W_pct_chg,futures_price,implied_rate,implied_rate_diff
0,1988-10-01,91.79,91.69,-0.04,91.71,8.290000000000006,
1,1988-11-01,91.79,91.55,-0.04,91.66,8.340000000000003,0.04999999999999716
2,1988-12-01,91.54,90.89,-0.15,91.2,8.799999999999997,0.45999999999999375
3,1989-01-01,91.59,90.76,-0.54,90.88,9.120000000000005,0.3200000000000074
4,1989-02-01,91.75,90.62,-0.9,90.63,9.370000000000005,0.25
5,1989-03-01,91.76,90.01,-1.42,90.14,9.86,0.4899999999999949
6,1989-04-01,91.69,89.57,-1.67,90.16,9.840000000000003,-0.01999999999999602
7,1989-05-01,91.1,89.37,-0.82,90.2,9.799999999999995,-0.04000000000000803
8,1989-06-01,91.75,89.2,-1.02,90.46,9.540000000000006,-0.25999999999998913
9,1989-07-01,90.8,89.18,0.02,90.77,9.230000000000004,-0.3100000000000023
10,1989-08-01,91.32,89.15,1.32,91.01,8.989999999999995,-0.2400000000000091
11,1989-09-01,91.66,89.13,1.26,90.97,9.03,0.040000000000004476
12,1989-10-01,91.91,90.1,0.95,91.16,8.840000000000003,-0.18999999999999595
13,1989-11-01,92.0,91.04,0.18,91.45,8.549999999999997,-0.29000000000000625
14,1989-12-01,92.02,91.02,0.05,91.45,8.549999999999997,0.0
15,1990-01-01,91.97,91.2,0.27,91.77,8.230000000000004,-0.3199999999999932
16,1990-02-01,92.08,91.32,0.49,91.77,8.230000000000004,0.0
17,1990-03-01,92.17,91.3,0.15,91.72,8.280000000000001,0.04999999999999716
18,1990-04-01,92.2,91.63,-0.25,91.74,8.260000000000005,-0.01999999999999602
19,1990-05-01,92.12,91.59,-0.29,91.82,8.180000000000007,-0.0799999999999983
20,1990-06-01,92.12,91.44,-0.42,91.72,8.280000000000001,0.09999999999999432
21,1990-07-01,92.21,91.34,-0.38,91.85,8.150000000000006,-0.12999999999999545
22,1990-08-01,92.11,91.26,0.39,91.87,8.129999999999995,-0.020000000000010232
23,1990-09-01,92.31,91.2,0.07,91.81,8.189999999999998,0.060000000000002274
24,1990-10-01,92.33,91.85,-0.02,91.93,8.069999999999993,-0.12000000000000455
25,1990-11-01,92.36,91.86,0.29,92.19,7.810000000000002,-0.2599999999999909
26,1990-12-01,92.64,91.82,0.85,92.64,7.359999999999999,-0.45000000000000284
27,1991-01-01,93.47,92.03,0.97,93.09,6.909999999999997,-0.45000000000000284
28,1991-02-01,93.81,92.16,1.68,93.77,6.230000000000004,-0.6799999999999926
29,1991-03-01,93.85,92.4,1.53,93.81,6.189999999999998,-0.04000000000000625
30,1991-04-01,94.14,92.7,1.48,94.09,5.909999999999997,-0.28000000000000114
31,1991-05-01,94.23,92.71,1.63,94.22,5.780000000000001,-0.12999999999999545
32,1991-06-01,94.26,93.03,1.2,94.2,5.799999999999997,0.01999999999999602
33,1991-07-01,94.28,93.65,0.41,94.18,5.819999999999993,0.01999999999999602
34,1991-08-01,94.4,93.58,0.55,94.34,5.659999999999997,-0.1599999999999966
35,1991-09-01,94.64,93.4,1.19,94.56,5.439999999999998,-0.21999999999999886
36,1991-10-01,94.86,93.69,1.17,94.79,5.209999999999994,-0.23000000000000398
37,1991-11-01,95.19,93.7,1.36,95.18,4.819999999999993,-0.39000000000000057
38,1991-12-01,95.56,93.35,1.87,95.55,4.450000000000003,-0.36999999999999034
39,1992-01-01,96.05,93.51,2.62,95.97,4.030000000000001,-0.4200000000000017
40,1992-02-01,96.16,93.8,2.29,95.95,4.049999999999997,0.01999999999999602
41,1992-03-01,96.21,94.25,1.86,96.0,4.0,-0.04999999999999716
42,1992-04-01,96.26,94.69,1.65,96.26,3.739999999999995,-0.2600000000000051
43,1992-05-01,96.35,94.5,1.78,96.18,3.819999999999993,0.0799999999999983
44,1992-06-01,96.39,94.45,1.92,96.26,3.739999999999995,-0.0799999999999983
45,1992-07-01,96.75,95.57,0.78,96.75,3.25,-0.4899999999999949
46,1992-08-01,96.8,95.41,0.77,96.69,3.3100000000000023,0.060000000000002274
47,1992-09-01,97.03,95.27,0.89,96.81,3.1899999999999977,-0.12000000000000455
48,1992-10-01,97.17,95.1,1.01,96.89,3.109999999999999,-0.07999999999999874
49,1992-11-01,97.26,94.9,1.34,96.91,3.0900000000000034,-0.019999999999995577
50,1992-12-01,97.22,94.6,2.27,97.05,2.950000000000003,-0.14000000000000057
51,1993-01-01,97.18,95.34,1.65,96.97,3.030000000000001,0.0799999999999983
52,1993-02-01,97.27,95.44,1.33,96.97,3.030000000000001,0.0
53,1993-03-01,97.24,96.44,0.49,96.92,3.0799999999999983,0.04999999999999716
54,1993-04-01,97.16,96.16,0.93,97.05,2.950000000000003,-0.12999999999999545
55,1993-05-01,97.1,96.33,-0.04,97.01,2.989999999999995,0.03999999999999204
56,1993-06-01,97.1,96.2,0.12,96.97,3.030000000000001,0.04000000000000625
57,1993-07-01,97.05,96.12,0.57,96.94,3.0600000000000023,0.030000000000001137
58,1993-08-01,97.04,96.04,0.87,96.97,3.030000000000001,-0.030000000000001137
59,1993-09-01,97.0,96.13,0.76,96.92,3.0799999999999983,0.04999999999999716
60,1993-10-01,97.01,96.58,0.29,97.01,2.989999999999995,-0.09000000000000341
61,1993-11-01,96.99,96.49,0.13,96.98,3.019999999999996,0.030000000000001137
62,1993-12-01,97.03,96.37,0.34,97.03,2.969999999999999,-0.04999999999999716
63,1994-01-01,96.98,96.27,0.55,96.96,3.0400000000000063,0.07000000000000739
64,1994-02-01,96.96,96.27,0.34,96.76,3.239999999999995,0.19999999999998863
65,1994-03-01,96.91,96.34,0.24,96.67,3.3299999999999983,0.09000000000000341
66,1994-04-01,96.87,96.28,-0.27,96.44,3.5600000000000023,0.23000000000000398
67,1994-05-01,96.8,95.88,-0.65,95.99,4.010000000000005,0.45000000000000284
68,1994-06-01,96.72,95.54,-0.87,95.76,4.239999999999995,0.22999999999998977
69,1994-07-01,96.67,95.25,-0.66,95.74,4.260000000000005,0.020000000000010232
70,1994-08-01,96.58,95.05,-0.9,95.51,4.489999999999995,0.22999999999998977
71,1994-09-01,96.44,94.81,-1.01,95.26,4.739999999999995,0.25
72,1994-10-01,95.63,94.63,-0.4,95.24,4.760000000000005,0.020000000000010232
73,1994-11-01,95.52,94.44,-0.85,94.7,5.299999999999997,0.539999999999992
74,1994-12-01,96.11,94.16,-1.51,94.48,5.519999999999996,0.21999999999999886
75,1995-01-01,94.66,93.93,0.2,94.48,5.519999999999996,0.0
76,1995-02-01,94.59,93.49,-0.5,94.08,5.920000000000002,0.4000000000000057
77,1995-03-01,94.44,93.28,-0.39,94.02,5.980000000000004,0.060000000000002274
78,1995-04-01,94.34,92.96,-0.31,93.96,6.040000000000006,0.060000000000002274
79,1995-05-01,94.24,92.68,-0.13,93.99,6.010000000000005,-0.030000000000001137
80,1995-06-01,94.13,92.5,0.25,93.98,6.019999999999996,0.009999999999990905
81,1995-07-01,94.3,92.65,1.61,94.14,5.859999999999999,-0.1599999999999966
82,1995-08-01,94.4,92.2,2.05,94.27,5.730000000000004,-0.12999999999999545
83,1995-09-01,94.6,93.29,0.8,94.18,5.819999999999993,0.0899999999999892
84,1995-10-01,94.68,93.7,0.52,94.245,5.7549999999999955,-0.06499999999999773
85,1995-11-01,94.75,93.65,0.45,94.205,5.795000000000002,0.04000000000000625
86,1995-12-01,94.6,94.17,0.03,94.32,5.680000000000007,-0.11499999999999488
87,1996-01-01,94.63,94.3,-0.21,94.43,5.569999999999993,-0.11000000000001364
88,1996-02-01,94.825,94.33,0.47,94.77,5.230000000000004,-0.3399999999999892
89,1996-03-01,94.79,94.41,0.11,94.68,5.319999999999993,0.0899999999999892
90,1996-04-01,94.98,94.44,0.18,94.775,5.224999999999994,-0.09499999999999886
91,1996-05-01,95.05,94.4,0.2,94.76,5.239999999999995,0.015000000000000568
92,1996-06-01,95.2,94.36,0.15,94.695,5.305000000000007,0.06500000000001194
93,1996-07-01,95.34,94.575,-0.05,94.64,5.359999999999999,0.05499999999999261
94,1996-08-01,95.39,94.52,-0.37,94.775,5.224999999999994,-0.13500000000000512
95,1996-09-01,95.43,94.36,-0.55,94.705,5.295000000000002,0.07000000000000739
96,1996-10-01,95.52,94.2,-0.57,94.75,5.25,-0.045000000000001705
97,1996-11-01,95.54,94.14,-0.69,94.67,5.329999999999998,0.0799999999999983
98,1996-12-01,95.52,94.0,-0.62,94.66,5.340000000000003,0.010000000000005116
99,1997-01-01,95.52,93.9,-0.63,94.745,5.2549999999999955,-0.08500000000000796
100,1997-02-01,94.82,93.8,0.66,94.82,5.180000000000007,-0.07499999999998863
101,1997-03-01,94.73,93.68,0.57,94.635,5.364999999999995,0.18499999999998806
102,1997-04-01,94.71,93.56,0.52,94.49,5.510000000000005,0.14500000000001023
103,1997-05-01,94.7,93.79,0.54,94.49,5.510000000000005,0.0
104,1997-06-01,94.68,94.29,0.1,94.465,5.534999999999997,0.024999999999991473
105,1997-07-01,94.65,94.16,0.19,94.485,5.515000000000001,-0.01999999999999602
106,1997-08-01,94.62,94.09,-0.01,94.465,5.534999999999997,0.01999999999999602
107,1997-09-01,94.53,94.0,0.08,94.45,5.549999999999997,0.015000000000000568
108,1997-10-01,94.51,93.89,0.17,94.5,5.5,-0.04999999999999716
109,1997-11-01,94.48,93.82,0.33,94.455,5.545000000000002,0.045000000000001705
110,1997-12-01,94.5,93.73,0.46,94.49,5.510000000000005,-0.03499999999999659
111,1998-01-01,94.48,93.65,0.49,94.435,5.564999999999998,0.05499999999999261
112,1998-02-01,94.63,93.96,0.57,94.5,5.5,-0.06499999999999773
113,1998-03-01,94.64,93.82,0.69,94.485,5.515000000000001,0.015000000000000568
114,1998-04-01,94.74,94.16,0.37,94.555,5.444999999999993,-0.07000000000000739
115,1998-05-01,94.76,94.15,0.27,94.51,5.489999999999995,0.045000000000001705
116,1998-06-01,94.77,94.11,0.28,94.48,5.519999999999996,0.030000000000001137
117,1998-07-01,94.8,94.2,0.16,94.46,5.540000000000006,0.020000000000010232
118,1998-08-01,94.83,94.2,0.13,94.46,5.540000000000006,0.0
119,1998-09-01,94.81,94.3,0.11,94.495,5.5049999999999955,-0.0350000000000108
120,1998-10-01,94.965,94.31,0.42,94.92,5.079999999999998,-0.42499999999999716
121,1998-11-01,95.185,94.27,0.64,95.165,4.834999999999994,-0.24500000000000455
122,1998-12-01,95.34,94.29,0.79,95.285,4.715000000000003,-0.11999999999999034
123,1999-01-01,95.4,94.25,0.95,95.365,4.635000000000005,-0.0799999999999983
124,1999-02-01,95.71,94.28,0.71,95.235,4.765000000000001,0.12999999999999545
125,1999-03-01,95.78,94.38,0.79,95.19,4.810000000000002,0.045000000000001705
126,1999-04-01,95.8,94.43,0.82,95.265,4.734999999999999,-0.07500000000000284
127,1999-05-01,95.82,94.61,0.65,95.225,4.775000000000006,0.04000000000000625
128,1999-06-01,95.82,95.1,0.12,95.23,4.769999999999996,-0.005000000000009663
129,1999-07-01,95.44,94.92,-0.33,95.0,5.0,0.23000000000000398
130,1999-08-01,95.44,94.86,-0.44,94.93,5.069999999999993,0.06999999999999318
131,1999-09-01,95.44,94.72,-0.6,94.78,5.219999999999999,0.15000000000000568
132,1999-10-01,95.44,94.62,-0.6,94.795,5.204999999999998,-0.015000000000000568
133,1999-11-01,95.14,94.565,-0.41,94.58,5.420000000000002,0.2150000000000034
134,1999-12-01,95.5,94.49,-0.71,94.69,5.310000000000002,-0.10999999999999943
135,2000-01-01,95.15,94.4,-0.58,94.555,5.444999999999993,0.1349999999999909
136,2000-02-01,94.75,94.17,-0.39,94.265,5.734999999999999,0.29000000000000625
137,2000-03-01,94.52,94.075,-0.32,94.14,5.859999999999999,0.125
138,2000-04-01,94.475,93.91,-0.44,93.98,6.019999999999996,0.1599999999999966
139,2000-05-01,94.2,93.735,-0.47,93.74,6.260000000000005,0.2400000000000091
140,2000-06-01,94.13,93.465,-0.68,93.47,6.530000000000001,0.269999999999996
141,2000-07-01,94.06,93.18,-0.63,93.45,6.549999999999997,0.01999999999999602
142,2000-08-01,93.73,93.12,-0.18,93.505,6.4950000000000045,-0.05499999999999261
143,2000-09-01,93.64,92.98,-0.1,93.48,6.519999999999996,0.024999999999991473
144,2000-10-01,93.52,92.88,0.09,93.49,6.510000000000005,-0.009999999999990905
145,2000-11-01,93.515,92.84,0.14,93.485,6.515000000000001,0.0049999999999954525
146,2000-12-01,93.55,92.76,0.25,93.49,6.510000000000005,-0.0049999999999954525
147,2001-01-01,94.09,92.665,0.83,94.02,5.980000000000004,-0.5300000000000011
148,2001-02-01,94.59,92.59,1.62,94.51,5.489999999999995,-0.4900000000000091
149,2001-03-01,94.855,93.14,1.58,94.685,5.314999999999998,-0.17499999999999716
150,2001-04-01,95.215,93.14,2.14,95.205,4.795000000000002,-0.519999999999996
151,2001-05-01,95.795,93.425,2.53,95.79,4.209999999999994,-0.585000000000008
152,2001-06-01,96.04,93.425,2.78,96.02,3.980000000000004,-0.22999999999998977
153,2001-07-01,96.4,93.425,3.01,96.235,3.765000000000001,-0.21500000000000297
154,2001-08-01,96.45,93.425,3.13,96.35,3.6500000000000057,-0.11499999999999533
155,2001-09-01,97.22,93.425,3.71,96.895,3.105000000000004,-0.5450000000000017
156,2001-10-01,97.56,93.425,4.38,97.52,2.480000000000004,-0.625
157,2001-11-01,97.92,93.425,4.8,97.905,2.094999999999999,-0.3850000000000051
158,2001-12-01,98.205,93.425,5.09,98.18,1.8199999999999932,-0.2750000000000057
159,2002-01-01,98.3,95.77,2.54,98.27,1.730000000000004,-0.0899999999999892
160,2002-02-01,98.44,93.425,5.17,98.255,1.7450000000000043,0.015000000000000346
161,2002-03-01,98.44,93.425,5.17,98.255,1.7450000000000043,0.0
162,2002-04-01,98.43,93.425,5.16,98.25,1.75,0.004999999999995675
163,2002-05-01,98.385,93.425,5.16,98.25,1.75,0.0
164,2002-06-01,98.33,93.425,5.15,98.24,1.7600000000000051,0.010000000000005116
165,2002-07-01,99.22,93.425,5.19,98.27,1.730000000000004,-0.030000000000001137
166,2002-08-01,98.34,97.485,0.52,98.26,1.7399999999999949,0.009999999999990905
167,2002-09-01,98.39,97.25,0.67,98.25,1.75,0.010000000000005116
168,2002-10-01,98.47,93.425,5.16,98.25,1.75,0.0
169,2002-11-01,98.665,93.425,5.6,98.66,1.3400000000000034,-0.4099999999999966
170,2002-12-01,98.775,93.425,5.71,98.76,1.2399999999999949,-0.10000000000000853
171,2003-01-01,98.775,93.425,5.72,98.765,1.2349999999999994,-0.0049999999999954525
172,2003-02-01,98.805,93.425,5.69,98.74,1.2600000000000051,0.025000000000005684
173,2003-03-01,98.815,93.425,5.7,98.75,1.25,-0.010000000000005116
174,2003-04-01,98.895,93.425,5.69,98.745,1.2549999999999957,0.004999999999995675
175,2003-05-01,98.99,98.075,0.48,98.745,1.2549999999999957,0.0
176,2003-06-01,99.01,98.4,0.39,98.785,1.2150000000000034,-0.039999999999992264
177,2003-07-01,99.185,98.41,0.39,98.99,1.0100000000000051,-0.2049999999999983
178,2003-08-01,99.2,98.32,0.39,98.97,1.0300000000000011,0.01999999999999602
179,2003-09-01,99.21,98.22,0.54,98.99,1.0100000000000051,-0.01999999999999602
180,2003-10-01,99.22,98.71,0.28,98.985,1.0150000000000006,0.0049999999999954525
181,2003-11-01,99.22,98.43,0.55,98.995,1.0049999999999957,-0.010000000000004894
182,2003-12-01,99.22,98.525,0.49,99.015,0.9849999999999994,-0.019999999999996243
183,2004-01-01,99.22,98.52,0.01,99.005,0.9950000000000044,0.010000000000005005
184,2004-02-01,99.215,98.645,0.31,98.995,1.0049999999999957,0.009999999999991238
185,2004-03-01,99.16,98.765,0.1,98.995,1.0049999999999957,0.0
186,2004-04-01,99.145,98.62,0.15,98.995,1.0049999999999957,0.0
187,2004-05-01,99.085,98.45,0.16,98.99,1.0100000000000051,0.005000000000009441
188,2004-06-01,99.0,98.39,0.17,98.975,1.0250000000000057,0.015000000000000568
189,2004-07-01,98.98,98.22,0.14,98.74,1.2600000000000051,0.23499999999999943
190,2004-08-01,98.95,98.21,0.16,98.575,1.4249999999999972,0.16499999999999204
191,2004-09-01,98.925,98.05,0.16,98.4,1.5999999999999943,0.17499999999999716
192,2004-10-01,98.953,97.96,-0.08,98.24,1.7600000000000051,0.1600000000000108
193,2004-11-01,98.953,97.745,-0.25,98.07,1.9300000000000068,0.1700000000000017
194,2004-12-01,98.953,97.565,-0.74,97.84,2.1599999999999966,0.22999999999998977
195,2005-01-01,98.685,97.465,-1.23,97.725,2.2750000000000057,0.1150000000000091
196,2005-02-01,98.6,97.245,-0.89,97.5,2.5,0.22499999999999432
197,2005-03-01,98.6,97.05,-1.03,97.375,2.625,0.125
198,2005-04-01,98.552,96.895,-0.77,97.22,2.780000000000001,0.15500000000000114
199,2005-05-01,98.552,96.895,-0.61,97.0,3.0,0.21999999999999886
200,2005-06-01,97.695,96.875,0.01,96.965,3.0349999999999966,0.03499999999999659
201,2005-07-01,97.65,96.595,-0.23,96.74,3.260000000000005,0.22500000000000853
202,2005-08-01,96.965,96.43,-0.47,96.505,3.4950000000000045,0.23499999999999943
203,2005-09-01,96.92,96.3,-0.56,96.38,3.620000000000005,0.12500000000000044
204,2005-10-01,96.905,96.16,-0.71,96.225,3.7750000000000057,0.1550000000000007
205,2005-11-01,96.885,95.99,-0.92,96.0,4.0,0.22499999999999432
206,2005-12-01,96.82,95.83,-1.01,95.85,4.150000000000006,0.15000000000000568
207,2006-01-01,96.49,95.715,-0.79,95.72,4.280000000000001,0.12999999999999545
208,2006-02-01,96.33,95.495,-0.61,95.505,4.4950000000000045,0.2150000000000034
209,2006-03-01,96.33,95.41,-0.71,95.415,4.584999999999994,0.0899999999999892
210,2006-04-01,96.22,95.21,-0.96,95.21,4.790000000000006,0.2050000000000125
211,2006-05-01,96.115,95.03,-1.07,95.055,4.944999999999993,0.15499999999998693
212,2006-06-01,96.14,94.955,-1.13,94.995,5.0049999999999955,0.060000000000002274
213,2006-07-01,96.115,94.71,-1.08,94.765,5.234999999999999,0.23000000000000398
214,2006-08-01,96.115,94.57,-0.96,94.755,5.2450000000000045,0.010000000000005116
215,2006-09-01,95.555,94.5,-0.91,94.75,5.25,0.0049999999999954525
216,2006-10-01,95.39,94.445,-0.54,94.755,5.2450000000000045,-0.0049999999999954525
217,2006-11-01,95.4,94.42,-0.64,94.755,5.2450000000000045,0.0
218,2006-12-01,95.41,94.43,-0.54,94.765,5.234999999999999,-0.010000000000005116
219,2007-01-01,95.2,94.44,-0.47,94.755,5.2450000000000045,0.010000000000005116
220,2007-02-01,95.085,94.445,-0.27,94.75,5.25,0.0049999999999954525
221,2007-03-01,94.94,94.455,-0.19,94.745,5.2549999999999955,0.0049999999999954525
222,2007-04-01,94.97,94.455,-0.16,94.75,5.25,-0.0049999999999954525
223,2007-05-01,95.075,94.455,-0.05,94.75,5.25,0.0
224,2007-06-01,95.13,94.465,0.23,94.75,5.25,0.0
225,2007-07-01,95.25,94.67,0.02,94.745,5.2549999999999955,0.0049999999999954525
226,2007-08-01,95.35,94.745,0.07,94.98,5.019999999999996,-0.23499999999999943
227,2007-09-01,95.41,94.735,-0.13,95.025,4.974999999999994,-0.045000000000001705
228,2007-10-01,95.45,94.735,0.17,95.25,4.75,-0.22499999999999432
229,2007-11-01,95.585,94.725,0.21,95.52,4.480000000000004,-0.269999999999996
230,2007-12-01,95.795,94.715,0.67,95.755,4.2450000000000045,-0.23499999999999943
231,2008-01-01,96.12,94.725,1.24,96.065,3.9350000000000023,-0.3100000000000023
232,2008-02-01,97.165,94.73,1.8,97.02,2.980000000000004,-0.9549999999999983
233,2008-03-01,97.515,94.715,2.17,97.395,2.605000000000004,-0.375
234,2008-04-01,98.075,94.735,2.59,97.73,2.269999999999996,-0.33500000000000796
235,2008-05-01,98.455,94.735,3.21,98.02,1.980000000000004,-0.28999999999999204
236,2008-06-01,98.49,94.795,3.24,98.005,1.9950000000000043,0.015000000000000346
237,2008-07-01,98.61,95.25,2.89,97.99,2.010000000000005,0.01500000000000079
238,2008-08-01,98.66,95.625,2.47,97.99,2.010000000000005,0.0
239,2008-09-01,98.68,95.635,2.45,98.1925,1.8075000000000043,-0.2025000000000008
240,2008-10-01,99.03,95.88,3.16,99.0275,0.9724999999999966,-0.8350000000000077
241,2008-11-01,99.68,96.605,3.07,99.6025,0.3974999999999937,-0.5750000000000028
242,2008-12-01,99.85,96.81,3.19,99.845,0.1550000000000011,-0.24249999999999258
243,2009-01-01,99.8825,97.06,2.2,99.8425,0.1574999999999988,0.0024999999999976985
244,2009-02-01,99.85,96.85,1.94,99.7775,0.2224999999999966,0.06499999999999778
245,2009-03-01,99.835,96.765,1.76,99.8175,0.1825000000000045,-0.0399999999999921
246,2009-04-01,99.8525,96.685,2.31,99.85,0.1500000000000056,-0.03249999999999889
247,2009-05-01,99.825,96.52,2.78,99.82,0.1800000000000068,0.030000000000001192
248,2009-06-01,99.82,97.07,2.81,99.795,0.2049999999999983,0.0249999999999915
249,2009-07-01,99.845,97.2,2.73,99.8425,0.1574999999999988,-0.04749999999999949
250,2009-08-01,99.8425,97.385,2.42,99.8375,0.1624999999999943,0.00499999999999548
251,2009-09-01,99.855,97.87,2.09,99.85,0.1500000000000056,-0.012499999999988687
252,2009-10-01,99.8825,98.31,1.43,99.88,0.1200000000000045,-0.030000000000001095
253,2009-11-01,99.8825,99.0,0.92,99.88,0.1200000000000045,0.0
254,2009-12-01,99.885,99.22,0.53,99.88,0.1200000000000045,0.0
255,2010-01-01,99.89,99.3,0.47,99.8875,0.1124999999999971,-0.0075000000000074035
